,councillor,x,y,z,cluster,mayor
36,Gord Perks,92.281068005384,17.51940754117367,25.355782006265724,1,False
37,Anthony Perruzza,60.30884616895324,10.359046581746432,31.80849736798996,1,False
38,Kyle Rae,-58.43682990230364,-13.163315150624053,0.3365909790515802,0,False
39,Bill Saundercook,-58.031688093428556,-14.81351970494527,1.0318007610033866,0,False
40,David Shiner,46.54570120996039,-18.212908325262564,-23.38477982033967,4,False
41,Karen Stintz,3.7591315614705927,-55.00255048147822,16.337840125649844,2,False
42,Michael Thompson,57.72180504865021,18.97810141377569,28.573576112352356,1,False
43,Adam Vaughan,12.07305242434969,-63.15786025044067,18.56952821767163,2,False
44,Michael Walker,-57.985820705598854,-15.076824659237166,1.3185227024174977,0,False
45,Michelle Berardinetti,15.055138753875475,-37.0638606844772,3.065503580073337,2,False
46,Josh Colle,49.43788029333913,-6.582339471067403,-29.996131398939635,4,False
47,Gary Crawford,69.11719729178829,31.809045514113507,20.117926530322396,1,False
48,Vincent Crisanti,47.04360215912388,-12.522112910439638,-18.503008963980268,4,False
49,Sarah Doucette,73.45502505035643,-5.186556693070356,-35.49726147414018,4,False
50,Doug Ford,-6.426753849242018,-39.099201777226774,10.506006109721332,2,False
51,Mary Fragedakis,62.05313548795158,-8.512592109164073,-29.29907866201769,4,False
52,Mike Layton,81.78219201795838,28.337805950967013,16.510674952326195,1,False
53,Josh Matlow,82.8322496234468,30.214966870040666,20.97784450136128,1,False
54,Mary-Margaret McMahon,73.354496456166,-5.626201755576563,-34.080482569506614,4,False
55,James Pasternak,56.70733121653485,32.71485746576572,22.137634370859008,1,False
56,Jaye Robinson,58.783400343453046,20.737060183163727,4.927594649776863,1,False
57,Kristyn Wong-Tam,74.42262063792782,26.297176956200122,10.351772376721522,1,False
58,Peter Leon,-32.64338185775375,-16.261748411443875,1.1498225396465709,0,False
59,James Maloney,-52.44474491783669,-5.553500993890349,-2.220297182438138,0,False
60,Ceta Ramkhalawansingh,-51.743250932871504,-5.7052791324446055,-2.142137766040193,0,False
61,Jon Burnside,-13.099264839869655,46.23480024901364,-44.41605641401592,3,False
62,John Campbell,-14.475661166537162,42.88917576093244,-49.67483570991987,3,False
63,Christin Carmichael Greb,-17.7133270233954,39.330317181809946,-45.906641663233394,3,False
64,Joe Cressy,0.20321462139920132,76.046590178442,-8.573205534040612,3,False
65,Justin J. Di Ciano,-21.295679188112278,35.58127291926663,-43.2020664046409,3,False
66,Stephen Holyday,-1.7280547662468853,77.51771542634756,-2.4520373394292547,3,False
67,Jim Karygiannis,-15.187426316184549,51.095736013105515,-24.40280216128924,3,False
68,John Tory,-9.690331603880479,67.44550589430172,-0.4517689862059646,3,True
69,Michelle Holland,-41.02072628806405,20.13444247228757,-24.952618038020443,3,False
70,Michael Ford,-25.331208122892317,56.44017062852266,5.099548889813104,3,False
71,Neethan Shan,-39.67940218014672,24.683762575121346,-28.44171561111222,3,False
72,Jim Hart,-43.38264069573006,21.37854873795951,-24.713344983310268,3,False
73,Lucy Troisi,-47.301624101669034,16.620383841451652,-20.85550988731673,0,False
74,Jonathan Tsao,-55.62276113529734,5.8922387615909635,-10.967241640373185,0,False
75,Miganoush Megardichian,-56.68170439384261,4.299479634972707,-9.37278056699404,0,False
76,Brad Bradford,-48.02727697754487,34.646560176946316,48.58232295561001,0,False
77,Mike Colle,-48.51021274802594,33.628990468991745,47.09403812861236,0,False
78,Cynthia Lai,-49.111365342051485,29.734837343869774,40.790178364001505,0,False
79,Jennifer McKelvie,-47.88240363289737,35.576500302342424,50.02944864120201,0,False
80,Nick Mantas,-56.739075145338646,11.920147180170957,18.030305473538377,0,False
81,Robin Buxton Potts,-60.04466666166452,0.43360417844733945,0.4274443957350651,0,False
82,Rose Milczyn,-61.04987425802645,-1.7283564732271428,-3.273109448500399,0,False
83,Alejandra Bravo,-60.87366737505612,1.5767985471309451,2.3023529109409324,0,False
84,Lily Cheng,-60.9150540965185,1.1602440736258581,1.533526380790056,0,False
85,Ausma Malik,-60.8771855146971,1.5081826550376172,2.2223233214971923,0,False
86,Chris Moise,-60.86527632518058,1.6118694859166651,2.3649436617695274,0,False
87,Amber Morley,-60.85084130476762,1.5974987350185113,2.311339318045342,0,False
88,Jamaal Myers,-60.86297405799359,1.5170816704524945,2.1951941419318906,0,False
89,Dianne Saxe,-60.87893302593922,1.4678672674780795,2.103431105775727,0,False
90,Olivia Chow,-61.104395489341705,-0.7889237171218035,-1.6428095539782386,0,True
91,Ana Bailão,68.64717064354312,28.20017262262027,19.1755872730399,1,False
